t_recv_ns,t_s,t_stamp_ns,frame_id,error_code,startup_timestamp,error_message,node_name,node_status
4769695263840,0,1788966308667177931,,0,1.7889663e+18,,motion,running
4770695200000,0.99993616,1788966309667177735,,0,1.7889663e+18,,motion,running
4772706037472,3.0107736,1788966310667291642,,0,1.7889663e+18,,motion,running
4772706074912,3.0108111,1788966311667179791,,0,1.7889663e+18,,motion,running
4773695060128,3.9997963,1788966312667188454,,0,1.7889663e+18,,motion,running
4774694988352,4.9997245,1788966313667178011,,0,1.7889663e+18,,motion,running
4775694803264,5.9995394,1788966314667182159,,0,1.7889663e+18,,motion,running
4776694797920,6.9995341,1788966315667178112,,0,1.7889663e+18,,motion,running
4777694909024,7.9996452,1788966316667179501,,0,1.7889663e+18,,motion,running
4778695165984,8.9999021,1788966317667178896,,0,1.7889663e+18,,motion,running
4779694768608,9.9995048,1788966318667179380,,0,1.7889663e+18,,motion,running
4780694748000,10.999484,1788966319667178229,,0,1.7889663e+18,,motion,running
4781694717696,11.999454,1788966320667179522,,0,1.7889663e+18,,motion,running
4782694652512,12.999389,1788966321667179165,,0,1.7889663e+18,,motion,running
4783694439680,13.999176,1788966322667177985,,0,1.7889663e+18,,motion,running
4784694537408,14.999274,1788966323667178840,,0,1.7889663e+18,,motion,running
4785694487648,15.999224,1788966324667178217,,0,1.7889663e+18,,motion,running
4786694489920,16.999226,1788966325667178850,,0,1.7889663e+18,,motion,running
4787694437088,17.999173,1788966326667184026,,0,1.7889663e+18,,motion,running
4788694289984,18.999026,1788966327667288195,,0,1.7889663e+18,,motion,running
4789694343456,19.99908,1788966328667177976,,0,1.7889663e+18,,motion,running
4790694283104,20.999019,1788966329667179555,,0,1.7889663e+18,,motion,running
4791694224416,21.998961,1788966330667178423,,0,1.7889663e+18,,motion,running
4792694200768,22.998937,1788966331667179313,,0,1.7889663e+18,,motion,running
