t_recv_ns,t_s,t_stamp_ns,frame_id,position_0,position_1,position_2,position_3,position_4,position_5,position_6,position_7,position_8,position_9,position_10,position_11,position_12,position_13,position_14,position_15,position_16,position_17,position_18,position_19,position_20,position_21,position_22,position_23,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11,torque_12,torque_13,torque_14,torque_15,torque_16,torque_17,torque_18,torque_19,torque_20,torque_21,torque_22,torque_23,velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,velocity_6,velocity_7,velocity_8,velocity_9,velocity_10,velocity_11,velocity_12,velocity_13,velocity_14,velocity_15,velocity_16,velocity_17,velocity_18,velocity_19,velocity_20,velocity_21,velocity_22,velocity_23
4769059022176,0,0,,-0.10128212,-0.25616074,0.23479843,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25806808,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,1.5238037,1.738575,-0.36793327,-0.91039181,-1.2026014,0.36869621,-0.25616074,-0.16117382,-0.38052177,-1.744297,0.061989784,0.0045776367,-0.0045776367,0.01373291,0.0045776367,-0.00026697575,0.0070291339,-0.0045776367,-0.0045776367,0.01373291,-0.0045776367,0.00045901138,0.0068626046,-0.022888184,-0.50811768,4.3900146,0.42572021,-0.58135986,-0.37994385,0.0045776367,-0.0045776367,0.0045776367,0.0045776367,0.0045776367,-0.0045776367,-0.00068664551,-0.0034332275,-0.0048065186,0.00068664551,0.0020773384,0.0027619165,-0.0034332275,-0.00068664551,-0.00068664551,-0.00068664551,-0.00044049406,0.0018615449,-0.00068664551,0.010299683,3.6509514,-0.43190765,-2.5948715,-0.69421005,-0.0061798096,-0.0020599365,0.0034332275,-0.0020599365,0.00068664551,-0.0020599365
4769059414656,0.00039248,0,,-0.10128212,-0.25616074,0.23479843,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25806808,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,1.5238037,1.7458229,-0.36907768,-0.91573238,-1.2041273,0.36869621,-0.25616074,-0.16117382,-0.38052177,-1.744297,0.061989784,-0.0045776367,-0.0045776367,0.01373291,0.0045776367,-0.00026697575,0.0070291339,0.0045776367,0.01373291,0.01373291,-0.0045776367,0.00045901138,0.0068626046,-0.01373291,-0.55389404,4.4998779,0.42572021,-0.61798096,-0.29754639,0.0045776367,0.0045776367,0.0045776367,0.0045776367,-0.0045776367,-0.0045776367,0.00068664551,0.00068664551,0.00068664551,0.00068664551,-0.00043614579,0.0035607899,-0.00068664551,-0.00068664551,0.0048065186,0.00068664551,-0.00044056878,-0.0018026142,-0.0020599365,-0.0061798096,3.6385918,-0.4401474,-2.6058578,-0.72304916,-0.0089263916,0.0034332275,-0.0034332275,0.00068664551,0.00068664551,-0.0020599365
4769061402112,0.002379936,0,,-0.10128212,-0.25616074,0.23479843,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25806808,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,1.5238037,1.7526894,-0.36984062,-0.92069149,-1.2056532,0.36869621,-0.25616074,-0.16117382,-0.38052177,-1.744297,0.061989784,0.0045776367,-0.0045776367,0.01373291,0.0045776367,0.025123194,-0.0075155203,0.0045776367,-0.0045776367,0.01373291,-0.0045776367,-0.01427008,2.9099999e-07,0.0045776367,-0.60882568,4.3533936,0.26092529,-0.78277588,-0.37994385,0.0045776367,-0.0045776367,0.0045776367,0.0045776367,-0.0045776367,-0.0045776367,-0.00068664551,-0.00068664551,0.0020599365,0.0020599365,-0.0019722578,0.0026081075,0.0061798096,0.00068664551,-0.00068664551,0.0020599365,0.00044053142,-2.9465334e-05,0.00068664551,-0.024032593,3.6234818,-0.45250702,-2.6237106,-0.73678207,-0.0034332275,0.0048065186,-0.0048065186,0.0020599365,0.0020599365,-0.0061798096
4769063390784,0.004368608,0,,-0.10128212,-0.25616074,0.23479843,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25806808,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,1.5234222,1.7599373,-0.37060356,-0.92603207,-1.2067976,0.36869621,-0.25616074,-0.16117382,-0.38052177,-1.744297,0.061989784,-0.0045776367,-0.0045776367,0.01373291,0.0045776367,-0.012428109,0.00024319321,0.0045776367,-0.0045776367,0.01373291,-0.0045776367,0.00045901138,0.0068626046,-0.022888184,-0.70953369,4.3533936,0.3616333,-0.64544678,-0.34332275,0.0045776367,0.0045776367,0.0045776367,0.0045776367,0.0045776367,-0.0045776367,-0.0020599365,0.0020599365,0.00068664551,-0.00068664551,0.00050619953,1.9226124e-05,-0.00068664551,0.00068664551,-0.0034332275,-0.00068664551,0.00044049406,-0.0018615449,-0.0061798096,-0.063858032,3.6042557,-0.47859955,-2.6484337,-0.73952866,0.00068664551,0.0020599365,-0.0048065186,0.0020599365,0.00068664551,-0.00068664551
4769065396992,0.006374816,0,,-0.10128212,-0.25616074,0.23479843,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25806808,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,1.5234222,1.7671852,-0.37174797,-0.93137264,-1.2083235,0.36869621,-0.25616074,-0.16117382,-0.38052177,-1.744297,0.061989784,0.0045776367,-0.0045776367,0.022888184,0.0045776367,0.012428109,-0.00024319321,-0.022888184,-0.0045776367,0.01373291,-0.0045776367,-0.01427008,2.9099999e-07,-0.01373291,-0.52642822,4.3717041,0.23345947,-0.56304932,-0.28839111,-0.0045776367,-0.0045776367,0.0045776367,0.0045776367,0.0045776367,-0.0045776367,-0.0020599365,-0.00068664551,-0.0034332275,0.0034332275,0.0020072847,-0.00081809952,0.0020599365,-0.00068664551,0.00068664551,-0.00068664551,-0.00044049406,0.0018615449,-0.0034332275,-0.098190308,3.5946426,-0.49233246,-2.6964989,-0.74639511,0.0048065186,-0.0020599365,-0.00068664551,0.0034332275,0.00068664551,0.00068664551
4769067405600,0.008383424,0,,-0.10128212,-0.25616074,0.23479843,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25806808,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,1.5230408,1.7744331,-0.37289238,-0.93671322,-1.2098494,0.36869621,-0.25616074,-0.16117382,-0.38052177,-1.744297,0.061989784,0.0045776367,-0.0045776367,0.01373291,-0.0045776367,-0.00026697575,0.0070291339,-0.01373291,0.0045776367,0.022888184,-0.0045776367,0.01427008,-2.9099999e-07,-0.022888184,-0.8102417,4.3717041,0.3616333,-0.78277588,-0.27008057,0.0045776367,0.0045776367,0.0045776367,0.0045776367,0.0045776367,-0.0045776367,-0.0020599365,-0.0020599365,0.0034332275,-0.00068664551,0.00050619953,1.9226124e-05,0.00068664551,-0.00068664551,0.0020599365,-0.0034332275,0.00088104417,-0.00097497045,0.0020599365,-0.10093689,3.5644302,-0.51842499,-2.6786461,-0.7628746,0.0020599365,0.00068664551,0.0020599365,-0.0034332275,-0.0020599365,-0.00068664551
4769069403136,0.01038096,0,,-0.10128212,-0.25616074,0.23479843,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25806808,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,1.5230408,1.781682,-0.37403679,-0.94205379,-1.2113752,0.36869621,-0.25616074,-0.16117382,-0.38052177,-1.744297,0.061989784,-0.0045776367,-0.0045776367,0.01373291,0.0045776367,-0.00026697575,0.0070291339,0.0045776367,-0.0045776367,0.01373291,-0.0045776367,-0.01427008,2.9099999e-07,-0.01373291,-0.70037842,4.3167725,0.15106201,-0.5355835,-0.32501221,0.0045776367,0.0045776367,0.0045776367,-0.0045776367,0.0045776367,-0.0045776367,-0.0034332275,-0.0020599365,0.0048065186,0.00068664551,-0.0015185986,-5.7678373e-05,-0.00068664551,-0.0020599365,0.0020599365,-0.0034332275,0.0026432072,0.00073924778,0.0034332275,-0.1476326,3.5575638,-0.5321579,-2.7294579,-0.77248764,0.00068664551,0.00068664551,0.00068664551,-0.00068664551,0.0020599365,0.0034332275
4769071386432,0.012364256,0,,-0.10128212,-0.25616074,0.23479843,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25806808,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,1.5226593,1.7889299,-0.3751812,-0.94777584,-1.2129011,0.36869621,-0.25616074,-0.16117382,-0.38052177,-1.744297,0.061989784,-0.0045776367,-0.0045776367,-0.0045776367,0.0045776367,-0.00026697575,0.0070291339,0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,0.01427008,-2.9099999e-07,0.0045776367,-0.84686279,4.2069092,0.55389404,-0.58135986,-0.41656494,0.0045776367,0.0045776367,0.0045776367,0.0045776367,0.0045776367,-0.0045776367,-0.00068664551,-0.0020599365,0.0048065186,0.00068664551,-0.00092483189,0.0044365678,0.0020599365,-0.00068664551,-0.00068664551,0.00068664551,0.0030837573,0.0016258222,-0.00068664551,-0.16685867,3.5589371,-0.59670258,-2.7528038,-0.78072739,-0.00068664551,-0.0020599365,-0.0020599365,0.00068664551,0.0020599365,0.0034332275
4769073385664,0.014363488,0,,-0.10128212,-0.25616074,0.23479843,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25806808,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,1.5222778,1.7957964,-0.37632561,-0.95349789,-1.2148085,0.36869621,-0.25616074,-0.16117382,-0.38052177,-1.744297,0.061989784,0.0045776367,-0.0045776367,0.01373291,0.0045776367,-0.00026697575,0.0070291339,0.0045776367,-0.0045776367,0.01373291,-0.0045776367,0.01427008,-2.9099999e-07,0.0045776367,-0.89263916,4.2435303,0.26092529,-0.54473877,-0.34332275,0.0045776367,0.0045776367,0.0045776367,0.0045776367,0.0045776367,-0.0045776367,-0.00068664551,-0.0020599365,0.00068664551,0.0020599365,0.0015536255,0.0018476864,-0.00068664551,-0.0048065186,0.0020599365,-0.00068664551,-0.0013215569,0.0019204756,-0.0034332275,-0.19157791,3.5575638,-0.59807587,-2.7761497,-0.78759384,0.0020599365,0.0020599365,-0.0020599365,-0.00068664551,-0.00068664551,0.00068664551
4769075523744,0.016501568,0,,-0.10128212,-0.25616074,0.23479843,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25806808,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,1.5215149,1.8099108,-0.37861443,-0.96456051,-1.2178602,0.36869621,-0.25616074,-0.16117382,-0.38052177,-1.744297,0.061989784,0.022888184,-0.0045776367,0.01373291,0.0045776367,-0.00026697575,0.0070291339,0.0045776367,-0.0045776367,0.01373291,0.022888184,-0.00045901138,-0.0068626046,-0.01373291,-1.0483093,4.0878906,0.40740967,-0.31585693,-0.30670166,0.0045776367,0.0045776367,0.0045776367,0.0045776367,0.0045776367,-0.0045776367,-0.00068664551,0.00068664551,0.0020599365,-0.00068664551,0.0026010514,0.0036761467,0.00068664551,0.00068664551,-0.0034332275,-0.0020599365,0.0022026945,0.0016847529,0.0048065186,-0.23552322,3.5575638,-0.65301132,-2.8571739,-0.81780624,0.00068664551,-0.0061798096,-0.0020599365,0.00068664551,0.0048065186,-0.00068664551
