t_recv_ns,t_s,t_stamp_ns,frame_id,angular_velocity.x,angular_velocity.y,angular_velocity.z,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,quaternion.w,quaternion.x,quaternion.y,quaternion.z,rpy.x,rpy.y,rpy.z
3517898526080,0,0,,0.0072999269,0.0003090629,0.0012733399,9.6768303,-0.250626,1.0589581,0.73924798,-0.081511997,-0.66574901,-0.060373999,-0.38069175,-1.4625885,0.17939877
3517898765632,0.000239552,0,,0.0072999269,0.0003090629,0.0012733399,9.6768303,-0.250626,1.0589581,0.73924798,-0.081511997,-0.66574901,-0.060373999,-0.38069175,-1.4625885,0.17939877
3517900647808,0.002121728,0,,0.0072999269,0.0003090629,0.0012733399,9.6768303,-0.250626,1.0589581,0.73924798,-0.081511997,-0.66574901,-0.060373999,-0.38069175,-1.4625885,0.17939877
3517902699808,0.004173728,0,,0.0025078811,-0.0048273363,-0.00048059385,9.7019157,-0.41567001,0.94781202,0.73924702,-0.081496,-0.66575199,-0.060371,-0.38052551,-1.4625989,0.17926035
3517904736896,0.006210816,0,,0.0025078811,-0.0048273363,-0.00048059385,9.7019157,-0.41567001,0.94781202,0.73924702,-0.081496,-0.66575199,-0.060371,-0.38052551,-1.4625989,0.17926035
3517906951808,0.008425728,0,,-0.00015130259,-0.0032204465,0.0046881814,9.8642368,-0.44596401,0.98293197,0.739241,-0.081502996,-0.66575903,-0.060366001,-0.38071406,-1.4626111,0.17944639
3517908734080,0.010208,0,,-0.00015130259,-0.0032204465,0.0046881814,9.8642368,-0.44596401,0.98293197,0.739241,-0.081502996,-0.66575903,-0.060366001,-0.38071406,-1.4626111,0.17944639
3517910681920,0.01215584,0,,-0.00015130259,-0.0032204465,0.0046881814,9.8642368,-0.44596401,0.98293197,0.739241,-0.081502996,-0.66575903,-0.060366001,-0.38071406,-1.4626111,0.17944639
3517912622688,0.014096608,0,,0.0016263152,0.00080203112,0.002166739,9.9192762,-0.44578201,1.038322,0.73924202,-0.08151,-0.66575801,-0.060359001,-0.38088996,-1.4626027,0.17962213
3517914811872,0.016285792,0,,0.0016263152,0.00080203112,0.002166739,9.9192762,-0.44578201,1.038322,0.73924202,-0.08151,-0.66575801,-0.060359001,-0.38088996,-1.4626027,0.17962213
3517916613568,0.018087488,0,,0.00074682638,-0.0044964916,0.001013216,9.8818588,-0.463072,0.98243397,0.73924202,-0.081514001,-0.665757,-0.060353998,-0.38099056,-1.4625995,0.17972418
3517918618752,0.020092672,0,,0.00074682638,-0.0044964916,0.001013216,9.8818588,-0.463072,0.98243397,0.73924202,-0.081514001,-0.665757,-0.060353998,-0.38099056,-1.4625995,0.17972418
3517920612448,0.022086368,0,,0.00074682638,-0.0044964916,0.001013216,9.8818588,-0.463072,0.98243397,0.73924202,-0.081514001,-0.665757,-0.060353998,-0.38099056,-1.4625995,0.17972418
3517922614208,0.024088128,0,,0.0072308465,-0.0060150156,-0.0015423998,9.7317629,-0.409502,0.95972902,0.73923302,-0.081511997,-0.66576898,-0.060346998,-0.38112795,-1.4626255,0.17987389
3517924655296,0.026129216,0,,0.0072308465,-0.0060150156,-0.0015423998,9.7317629,-0.409502,0.95972902,0.73923302,-0.081511997,-0.66576898,-0.060346998,-0.38112795,-1.4626255,0.17987389
3517926678464,0.028152384,0,,0.0076678072,-0.0012686973,-0.0014422703,9.7030735,-0.26613,0.984321,0.739227,-0.081499003,-0.66577703,-0.060339998,-0.38108833,-1.4626454,0.17986394
3517928659168,0.030133088,0,,0.0076678072,-0.0012686973,-0.0014422703,9.7030735,-0.26613,0.984321,0.739227,-0.081499003,-0.66577703,-0.060339998,-0.38108833,-1.4626454,0.17986394
3517930651904,0.032125824,0,,0.0076678072,-0.0012686973,-0.0014422703,9.7030735,-0.26613,0.984321,0.739227,-0.081499003,-0.66577703,-0.060339998,-0.38108833,-1.4626454,0.17986394
3517932642624,0.034116544,0,,0.0052748738,-0.0014625684,-0.0024214699,9.7000351,-0.33950201,0.99443197,0.739227,-0.081478998,-0.66577899,-0.060338002,-0.38084768,-1.4626564,0.17965407
3517934842976,0.036316896,0,,0.0052748738,-0.0014625684,-0.0024214699,9.7000351,-0.33950201,0.99443197,0.739227,-0.081478998,-0.66577899,-0.060338002,-0.38084768,-1.4626564,0.17965407
3517936672608,0.038146528,0,,0.0068846605,-0.00093326248,0.0030378679,9.7109575,-0.39462799,0.96522301,0.739227,-0.081465997,-0.66578197,-0.060329001,-0.38079665,-1.4626603,0.17963376
3517938648960,0.04012288,0,,0.0068846605,-0.00093326248,0.0030378679,9.7109575,-0.39462799,0.96522301,0.739227,-0.081465997,-0.66578197,-0.060329001,-0.38079665,-1.4626603,0.17963376
3517940639360,0.04211328,0,,0.0068846605,-0.00093326248,0.0030378679,9.7109575,-0.39462799,0.96522301,0.739227,-0.081465997,-0.66578197,-0.060329001,-0.38079665,-1.4626603,0.17963376
3517942672064,0.044145984,0,,0.0033070848,-0.0011301705,-0.00039109337,9.7706137,-0.42176101,0.95680201,0.739227,-0.081459999,-0.66578299,-0.060320999,-0.38082082,-1.462662,0.17967873
3517944639296,0.046113216,0,,0.0033070848,-0.0011301705,-0.00039109337,9.7706137,-0.42176101,0.95680201,0.739227,-0.081459999,-0.66578299,-0.060320999,-0.38082082,-1.462662,0.17967873
