t_recv_ns,t_s,t_stamp_ns,frame_id,error_code,startup_timestamp,error_message,node_name,node_status
4666700129376,0,1788966205667179728,,0,1.7889662e+18,,motion,running
4667699994176,0.9998648,1788966206667177563,,0,1.7889662e+18,,motion,running
4668700036864,1.9999075,1788966207667177870,,0,1.7889662e+18,,motion,running
4669699900512,2.9997711,1788966208667183206,,0,1.7889662e+18,,motion,running
4670699921760,3.9997924,1788966209667178246,,0,1.7889662e+18,,motion,running
4671699901856,4.9997725,1788966210667179303,,0,1.7889662e+18,,motion,running
4672699823360,5.999694,1788966211667178620,,0,1.7889662e+18,,motion,running
4673699837824,6.9997084,1788966212667178330,,0,1.7889662e+18,,motion,running
4674699749760,7.9996204,1788966213667179436,,0,1.7889662e+18,,motion,running
4675699769376,8.99964,1788966214667179497,,0,1.7889662e+18,,motion,running
4676699637088,9.9995077,1788966215667171983,,0,1.7889662e+18,,motion,running
4677699621952,10.999493,1788966216667164490,,0,1.7889662e+18,,motion,running
4678699454272,11.999325,1788966217667178006,,0,1.7889662e+18,,motion,running
4679699519648,12.99939,1788966218667178030,,0,1.7889662e+18,,motion,running
4680699494464,13.999365,1788966219667177029,,0,1.7889662e+18,,motion,running
4681699410912,14.999282,1788966220667177488,,0,1.7889662e+18,,motion,running
4682699401600,15.999272,1788966221667178560,,0,1.7889662e+18,,motion,running
4683699353440,16.999224,1788966222667178361,,0,1.7889662e+18,,motion,running
4684699247584,17.999118,1788966223667177857,,0,1.7889662e+18,,motion,running
4685699243552,18.999114,1788966224667178243,,0,1.7889662e+18,,motion,running
4686699174752,19.999045,1788966225667177762,,0,1.7889662e+18,,motion,running
4687699135776,20.999006,1788966226667178383,,0,1.7889662e+18,,motion,running
4688699075584,21.998946,1788966227667177683,,0,1.7889662e+18,,motion,running
4689699020352,22.998891,1788966228667179482,,0,1.7889662e+18,,motion,running
4690699003744,23.998874,1788966229667177606,,0,1.7889662e+18,,motion,running
4691698945728,24.998816,1788966230667179728,,0,1.7889662e+18,,motion,running
4692698772736,25.998643,1788966231667177862,,0,1.7889662e+18,,motion,running
4693698785216,26.998656,1788966232667178507,,0,1.7889662e+18,,motion,running
4694698823360,27.998694,1788966233667185194,,0,1.7889662e+18,,motion,running
4695698746944,28.998618,1788966234667178311,,0,1.7889662e+18,,motion,running
4696698727744,29.998598,1788966235667178509,,0,1.7889662e+18,,motion,running
4697698671904,30.998543,1788966236667177721,,0,1.7889662e+18,,motion,running
4698698598944,31.99847,1788966237667178780,,0,1.7889662e+18,,motion,running
4699698568832,32.998439,1788966238667178241,,0,1.7889662e+18,,motion,running
4700698514400,33.998385,1788966239667178068,,0,1.7889662e+18,,motion,running
4701698486752,34.998357,1788966240667180369,,0,1.7889662e+18,,motion,running
4702698420352,35.998291,1788966241667177418,,0,1.7889662e+18,,motion,running
4703698391392,36.998262,1788966242667177790,,0,1.7889662e+18,,motion,running
4704698186336,37.998057,1788966243667178725,,0,1.7889662e+18,,motion,running
4705698273632,38.998144,1788966244667179005,,0,1.7889662e+18,,motion,running
4706698211968,39.998083,1788966245667178706,,0,1.7889662e+18,,motion,running
4707698185408,40.998056,1788966246667177880,,0,1.7889662e+18,,motion,running
4708698159360,41.99803,1788966247667186605,,0,1.7889662e+18,,motion,running
4709698083520,42.997954,1788966248667178325,,0,1.7889662e+18,,motion,running
4710698093344,43.997964,1788966249667178770,,0,1.7889662e+18,,motion,running
4711697993472,44.997864,1788966250667178337,,0,1.7889663e+18,,motion,running
4712697958176,45.997829,1788966251667177948,,0,1.7889663e+18,,motion,running
4713697911232,46.997782,1788966252667178894,,0,1.7889663e+18,,motion,running
4714697850432,47.997721,1788966253667178598,,0,1.7889663e+18,,motion,running
