t_recv_ns,t_s,t_stamp_ns,frame_id,hardware_connected,analog_states_0,analog_states_1,analog_states_2,analog_states_3,analog_states_4,analog_states_5,digital_states_0,digital_states_1,digital_states_2,digital_states_3,digital_states_4,digital_states_5,digital_states_6,digital_states_7,digital_states_8,digital_states_9,digital_states_10,digital_states_11
3621209731904,1.019946,1788965160127123775,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3621229748032,1.0399621,1788965160147110745,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3621249704576,1.0599187,1788965160167110830,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3621269748864,1.079963,1788965160187115250,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3621289708352,1.0999225,1788965160207113574,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3621309709024,1.1199231,1788965160227109932,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3621329705696,1.1399198,1788965160247109838,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3621349623904,1.159838,1788965160267109970,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3621369722336,1.1799364,1788965160287110385,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3621389728128,1.1999422,1788965160307110234,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3621409726112,1.2199402,1788965160327113632,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3621429775392,1.2399895,1788965160347110101,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3621449711296,1.2599254,1788965160367110209,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3621469715104,1.2799292,1788965160387110202,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3621489687008,1.2999011,1788965160407110205,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
