t_recv_ns,t_s,t_stamp_ns,frame_id,angular_velocity.x,angular_velocity.y,angular_velocity.z,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,quaternion.w,quaternion.x,quaternion.y,quaternion.z,rpy.x,rpy.y,rpy.z
21448388317952,0,0,,0.0020284914,0.0024834815,0.00098185242,10.046325,-0.15402099,0.009323,0.74820799,-0.118139,-0.64411098,-0.106527,-0.27107624,-1.4225326,-0.04888997
21448390257504,0.001939552,0,,0.0020284914,0.0024834815,0.00098185242,10.046325,-0.15402099,0.009323,0.74820799,-0.118139,-0.64411098,-0.106527,-0.27107624,-1.4225326,-0.04888997
21448392249280,0.003931328,0,,0.0021601766,-0.0015825598,0.0025399951,9.9241571,-0.126533,0.0085840002,0.748151,-0.118138,-0.64417702,-0.106525,-0.27121005,-1.4227046,-0.04874804
21448394279296,0.005961344,0,,0.0021601766,-0.0015825598,0.0025399951,9.9241571,-0.126533,0.0085840002,0.748151,-0.118138,-0.64417702,-0.106525,-0.27121005,-1.4227046,-0.04874804
21448396266048,0.007948096,0,,0.0033173648,-0.00069266882,0.00032628931,9.8278418,-0.108407,0.059429001,0.74809402,-0.118131,-0.64424598,-0.106519,-0.27132953,-1.4228833,-0.048608853
21448398240704,0.009922752,0,,0.0033173648,-0.00069266882,0.00032628931,9.8278418,-0.108407,0.059429001,0.74809402,-0.118131,-0.64424598,-0.106519,-0.27132953,-1.4228833,-0.048608853
21448400419104,0.012101152,0,,0.0033173648,-0.00069266882,0.00032628931,9.8278418,-0.108407,0.059429001,0.74809402,-0.118131,-0.64424598,-0.106519,-0.27132953,-1.4228833,-0.048608853
21448402229152,0.0139112,0,,0.00082615158,0.0017976367,-0.0020975542,9.7800655,-0.17267101,0.143428,0.74804002,-0.118122,-0.64431,-0.10652,-0.27135096,-1.4230512,-0.048573541
21448404236128,0.015918176,0,,0.00082615158,0.0017976367,-0.0020975542,9.7800655,-0.17267101,0.143428,0.74804002,-0.118122,-0.64431,-0.10652,-0.27135096,-1.4230512,-0.048573541
21448406236928,0.017918976,0,,0.00082615158,0.0017976367,-0.0020975542,9.7800655,-0.17267101,0.143428,0.74804002,-0.118122,-0.64431,-0.10652,-0.27135096,-1.4230512,-0.048573541
21448408229184,0.019911232,0,,0.00082615158,0.0017976367,-0.0020975542,9.7800655,-0.17267101,0.143428,0.74804002,-0.118122,-0.64431,-0.10652,-0.27135096,-1.4230512,-0.048573541
21448410225536,0.021907584,0,,0.00082615158,0.0017976367,-0.0020975542,9.7800655,-0.17267101,0.143428,0.74804002,-0.118122,-0.64431,-0.10652,-0.27135096,-1.4230512,-0.048573541
21448412228416,0.023910464,0,,-0.0033326015,5.2482052e-05,0.006891799,9.7028313,-0.224438,0.353021,0.74793899,-0.118136,-0.64442199,-0.106535,-0.27158664,-1.4233531,-0.048375464
21448414210720,0.025892768,0,,-0.0033326015,5.2482052e-05,0.006891799,9.7028313,-0.224438,0.353021,0.74793899,-0.118136,-0.64442199,-0.106535,-0.27158664,-1.4233531,-0.048375464
21448416215392,0.02789744,0,,0.0010280687,0.0043876879,0.0005516811,9.7661552,-0.30137399,0.51392698,0.74790001,-0.118144,-0.64446598,-0.106532,-0.2717816,-1.4234672,-0.048185834
21448418207616,0.029889664,0,,0.0010280687,0.0043876879,0.0005516811,9.7661552,-0.30137399,0.51392698,0.74790001,-0.118144,-0.64446598,-0.106532,-0.2717816,-1.4234672,-0.048185834
21448420408416,0.032090464,0,,0.0010280687,0.0043876879,0.0005516811,9.7661552,-0.30137399,0.51392698,0.74790001,-0.118144,-0.64446598,-0.106532,-0.2717816,-1.4234672,-0.048185834
21448422253312,0.03393536,0,,-0.001481226,0.0052933744,0.0035055985,9.8737764,-0.307998,0.69485599,0.74787301,-0.118149,-0.64449799,-0.106528,-0.27192819,-1.4235482,-0.048041287
21448424218240,0.035900288,0,,-0.001481226,0.0052933744,0.0035055985,9.8737764,-0.307998,0.69485599,0.74787301,-0.118149,-0.64449799,-0.106528,-0.27192819,-1.4235482,-0.048041287
21448426298624,0.037980672,0,,-0.0045107858,0.0020034634,0.0045658336,9.8887968,-0.34266099,0.87049097,0.74784899,-0.118163,-0.64452201,-0.10653,-0.27211103,-1.4236145,-0.047880436
21448428259872,0.03994192,0,,-0.0045107858,0.0020034634,0.0045658336,9.8887968,-0.34266099,0.87049097,0.74784899,-0.118163,-0.64452201,-0.10653,-0.27211103,-1.4236145,-0.047880436
21448430293824,0.041975872,0,,-0.0045107858,0.0020034634,0.0045658336,9.8887968,-0.34266099,0.87049097,0.74784899,-0.118163,-0.64452201,-0.10653,-0.27211103,-1.4236145,-0.047880436
21448432223072,0.04390512,0,,0.0018932633,0.001175008,0.0021619742,9.9252405,-0.37124801,1.118643,0.74782997,-0.118173,-0.64454299,-0.106525,-0.27229297,-1.4236688,-0.047704231
21448434202816,0.045884864,0,,0.0018932633,0.001175008,0.0021619742,9.9252405,-0.37124801,1.118643,0.74782997,-0.118173,-0.64454299,-0.106525,-0.27229297,-1.4236688,-0.047704231
21448436274336,0.047956384,0,,-0.0027762255,-0.0016692504,0.0032703631,9.8378086,-0.49245501,1.318134,0.74781698,-0.118179,-0.64455801,-0.106517,-0.27245491,-1.4237061,-0.047539402
21448438271840,0.049953888,0,,-0.0027762255,-0.0016692504,0.0032703631,9.8378086,-0.49245501,1.318134,0.74781698,-0.118179,-0.64455801,-0.106517,-0.27245491,-1.4237061,-0.047539402
21448440366208,0.052048256,0,,-0.0027762255,-0.0016692504,0.0032703631,9.8378086,-0.49245501,1.318134,0.74781698,-0.118179,-0.64455801,-0.106517,-0.27245491,-1.4237061,-0.047539402
21448442284256,0.053966304,0,,-0.0018035186,0.00023410101,-0.0034523486,9.7988634,-0.52282602,1.471071,0.74781197,-0.118189,-0.64456302,-0.106519,-0.27255272,-1.4237195,-0.047459274
21448444209280,0.055891328,0,,-0.0018035186,0.00023410101,-0.0034523486,9.7988634,-0.52282602,1.471071,0.74781197,-0.118189,-0.64456302,-0.106519,-0.27255272,-1.4237195,-0.047459274
21448446203488,0.057885536,0,,-0.0039765057,-0.0044875206,-0.0013378472,9.8102455,-0.48263499,1.694715,0.74780899,-0.118194,-0.64456397,-0.106525,-0.27255565,-1.4237233,-0.047471437
21448448237280,0.059919328,0,,-0.0039765057,-0.0044875206,-0.0013378472,9.8102455,-0.48263499,1.694715,0.74780899,-0.118194,-0.64456397,-0.106525,-0.27255565,-1.4237233,-0.047471437
21448450248704,0.061930752,0,,-0.0039765057,-0.0044875206,-0.0013378472,9.8102455,-0.48263499,1.694715,0.74780899,-0.118194,-0.64456397,-0.106525,-0.27255565,-1.4237233,-0.047471437
21448452232224,0.063914272,0,,-0.00011890928,-0.0022069515,0.0012680864,9.6667042,-0.57372999,1.8678221,0.74781197,-0.118204,-0.64455801,-0.106527,-0.27264037,-1.4237098,-0.047403926
21448454196608,0.065878656,0,,-0.00011890928,-0.0022069515,0.0012680864,9.6667042,-0.57372999,1.8678221,0.74781197,-0.118204,-0.64455801,-0.106527,-0.27264037,-1.4237098,-0.047403926
21448456232512,0.06791456,0,,0.00028164378,-0.0011029259,-0.0024520478,9.4697123,-0.61729598,2.0098591,0.74782801,-0.118209,-0.64454001,-0.106526,-0.27265586,-1.4236611,-0.047395113
21448458275104,0.069957152,0,,0.00028164378,-0.0011029259,-0.0024520478,9.4697123,-0.61729598,2.0098591,0.74782801,-0.118209,-0.64454001,-0.106526,-0.27265586,-1.4236611,-0.047395113
21448460402976,0.072085024,0,,0.00028164378,-0.0011029259,-0.0024520478,9.4697123,-0.61729598,2.0098591,0.74782801,-0.118209,-0.64454001,-0.106526,-0.27265586,-1.4236611,-0.047395113
