t_recv_ns,t_s,t_stamp_ns,frame_id,hardware_connected,analog_states_0,analog_states_1,analog_states_2,analog_states_3,analog_states_4,analog_states_5,digital_states_0,digital_states_1,digital_states_2,digital_states_3,digital_states_4,digital_states_5,digital_states_6,digital_states_7,digital_states_8,digital_states_9,digital_states_10,digital_states_11
21449420175776,1.0199124,1786372906936507051,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449440207552,1.0399441,1786372906956511309,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449460052064,1.0597886,1786372906976504642,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449480173088,1.0799097,1786372906996511578,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449500225920,1.0999625,1786372907016531919,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449520183232,1.1199198,1786372907036525001,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449540215424,1.139952,1786372907056522697,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449560206080,1.1599427,1786372907076507357,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449580166976,1.1799036,1786372907096514677,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449600184160,1.1999207,1786372907116505732,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449620181728,1.2199183,1786372907136510704,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449640225472,1.239962,1786372907156530400,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449660058560,1.2597951,1786372907176527446,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449680192928,1.2799295,1786372907196522782,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449700242272,1.2999788,1786372907216506922,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449720184448,1.319921,1786372907236511269,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449740192512,1.3399291,1786372907256504145,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449760193888,1.3599305,1786372907276510798,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449780200160,1.3799367,1786372907296530418,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449800095840,1.3998324,1786372907316526792,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449820213888,1.4199505,1786372907336523093,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449840159872,1.4398964,1786372907356506667,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449860054848,1.4597914,1786372907376514135,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449880166176,1.4799028,1786372907396505534,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449900232192,1.4999688,1786372907416512176,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449920218464,1.519955,1786372907436532033,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449940219744,1.5399563,1786372907456527420,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449960201152,1.5599377,1786372907476524181,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449980169184,1.5799058,1786372907496507524,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21450000161952,1.5998985,1786372907516511502,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21450020143328,1.6198799,1786372907536504820,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
