t_recv_ns,t_s,t_stamp_ns,current_motion_task
21448460144032,0,0,joint_bridge
21448660152096,0.20000806,0,joint_bridge
21448860112864,0.39996883,0,joint_bridge
21449060113504,0.59996947,0,joint_bridge
21449260184640,0.80004061,0,joint_bridge
21449460081504,0.99993747,0,joint_bridge
21449660098208,1.1999542,0,joint_bridge
21449860097952,1.3999539,0,joint_bridge
21450060067168,1.5999231,0,joint_bridge
21450260131200,1.7999872,0,joint_bridge
21450460044512,1.9999005,0,joint_bridge
21450660037920,2.1998939,0,joint_bridge
21450860025664,2.3998816,0,joint_bridge
21451060028832,2.5998848,0,joint_bridge
21451260048672,2.7999046,0,joint_bridge
21451460013376,2.9998693,0,joint_bridge
21451659988064,3.199844,0,joint_bridge
21451860013024,3.399869,0,joint_bridge
21452059988832,3.5998448,0,joint_bridge
21452259960320,3.7998163,0,joint_bridge
21452459960480,3.9998164,0,joint_bridge
21452659939456,4.1997954,0,joint_bridge
21452859937184,4.3997932,0,joint_bridge
21453059941984,4.599798,0,joint_bridge
21453259924960,4.7997809,0,joint_bridge
21453460020448,4.9998764,0,joint_bridge
21453659906016,5.199762,0,joint_bridge
21453859911552,5.3997675,0,joint_bridge
21454059891680,5.5997476,0,joint_bridge
21454259897024,5.799753,0,joint_bridge
21454459875264,5.9997312,0,joint_bridge
21454659864800,6.1997208,0,joint_bridge
21454859862368,6.3997183,0,joint_bridge
21455059863072,6.599719,0,joint_bridge
21455259850912,6.7997069,0,joint_bridge
21455459868544,6.9997245,0,joint_bridge
21455659828768,7.1996847,0,joint_bridge
21455859815552,7.3996715,0,joint_bridge
21456059797984,7.599654,0,joint_bridge
21456259827360,7.7996833,0,joint_bridge
21456459882944,7.9997389,0,joint_bridge
21456659776288,8.1996323,0,joint_bridge
21456859755232,8.3996112,0,joint_bridge
21457059755264,8.5996112,0,joint_bridge
21457259760640,8.7996166,0,joint_bridge
21457459744416,8.9996004,0,joint_bridge
21457659747168,9.1996031,0,joint_bridge
21457859710944,9.3995669,0,joint_bridge
21458059699104,9.5995551,0,joint_bridge
21458259719040,9.799575,0,joint_bridge
21458459784896,9.9996409,0,joint_bridge
21458659673088,10.199529,0,joint_bridge
21458859665056,10.399521,0,joint_bridge
21459059663328,10.599519,0,joint_bridge
21459259656896,10.799513,0,joint_bridge
21459459738976,10.999595,0,joint_bridge
21459659627552,11.199484,0,joint_bridge
21459859623264,11.399479,0,joint_bridge
21460059615168,11.599471,0,joint_bridge
21460259604800,11.799461,0,joint_bridge
21460459605568,11.999462,0,joint_bridge
21460659584640,12.199441,0,joint_bridge
21460859600480,12.399456,0,joint_bridge
21461059603808,12.59946,0,joint_bridge
21461259578240,12.799434,0,joint_bridge
21461459559968,12.999416,0,joint_bridge
21461659547776,13.199404,0,joint_bridge
21461859540480,13.399396,0,joint_bridge
21462059513216,13.599369,0,joint_bridge
21462259518944,13.799375,0,joint_bridge
21462459661824,13.999518,0,joint_bridge
21462659522816,14.199379,0,joint_bridge
21462859487584,14.399344,0,joint_bridge
21463059491776,14.599348,0,joint_bridge
21463259481216,14.799337,0,joint_bridge
21463459467840,14.999324,0,joint_bridge
21463659441952,15.199298,0,joint_bridge
21463859479232,15.399335,0,joint_bridge
21464059431680,15.599288,0,joint_bridge
21464259415488,15.799271,0,joint_bridge
21464459422080,15.999278,0,joint_bridge
21464659410560,16.199267,0,joint_bridge
21464859390560,16.399247,0,joint_bridge
21465059389152,16.599245,0,joint_bridge
21465259383360,16.799239,0,joint_bridge
21465459484928,16.999341,0,joint_bridge
21465659363968,17.19922,0,joint_bridge
21465859350464,17.399206,0,joint_bridge
21466059335840,17.599192,0,joint_bridge
21466259329024,17.799185,0,joint_bridge
