t_recv_ns,t_s,t_stamp_ns,mos_temperature_0,mos_temperature_1,mos_temperature_2,mos_temperature_3,mos_temperature_4,mos_temperature_5,mos_temperature_6,mos_temperature_7,mos_temperature_8,mos_temperature_9,mos_temperature_10,mos_temperature_11,mos_temperature_12,mos_temperature_13,mos_temperature_14,mos_temperature_15,mos_temperature_16,mos_temperature_17,mos_temperature_18,mos_temperature_19,mos_temperature_20,mos_temperature_21,mos_temperature_22,mos_temperature_23,mos_temperature_24,motor_temperature_0,motor_temperature_1,motor_temperature_2,motor_temperature_3,motor_temperature_4,motor_temperature_5,motor_temperature_6,motor_temperature_7,motor_temperature_8,motor_temperature_9,motor_temperature_10,motor_temperature_11,motor_temperature_12,motor_temperature_13,motor_temperature_14,motor_temperature_15,motor_temperature_16,motor_temperature_17,motor_temperature_18,motor_temperature_19,motor_temperature_20,motor_temperature_21,motor_temperature_22,motor_temperature_23,motor_temperature_24,tau_cmd_0,tau_cmd_1,tau_cmd_2,tau_cmd_3,tau_cmd_4,tau_cmd_5,tau_cmd_6,tau_cmd_7,tau_cmd_8,tau_cmd_9,tau_cmd_10,tau_cmd_11,tau_cmd_12,tau_cmd_13,tau_cmd_14,tau_cmd_15,tau_cmd_16,tau_cmd_17,tau_cmd_18,tau_cmd_19,tau_cmd_20,tau_cmd_21,tau_cmd_22,tau_cmd_23,tau_cmd_24
21331705699872,0,0,41.494621,39.622337,38.409248,36.669716,38.418404,39.269859,40.894943,39.951935,38.770889,35.89151,38.679329,38.587776,44.081024,47.299156,42.872513,40.807968,39.466698,38.679329,46.282906,42.698555,41.837952,41.700615,40.066376,46.891739,5007451.7,38.340584,36.262306,35.012589,34.435799,34.930191,35.172806,38.06134,36.724648,35.351341,33.630119,35.484093,34.930191,41.650261,45.788513,41.622795,38.381783,37.740898,35.900665,42.913712,39.897003,38.427559,39.329369,37.96521,43.215836,5007451.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-7.5852661,-2.3483582,0.71868896,-2.275116,0.16021729,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,5007451.7
21331725596896,0.019897024,0,41.494621,39.622337,38.404671,36.665138,38.418404,39.265282,40.894943,39.951935,38.770889,35.896088,38.679329,38.583199,44.081024,47.303734,42.863358,40.794235,39.466698,38.683907,46.287483,42.693977,41.842529,41.705193,40.075531,46.896317,5007471.7,38.358894,36.266884,35.003433,34.435799,34.930191,35.168228,38.04303,36.724648,35.346764,33.625542,35.506981,34.934769,41.668571,45.783936,41.609062,38.404671,37.740898,35.900665,42.904556,39.910736,38.395515,39.320213,37.951477,43.247879,5007471.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-7.6585083,-2.4032898,0.86517334,-2.2293396,0.21514893,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,5007471.7
21331745707680,0.040007808,0,41.499199,39.626915,38.400093,36.669716,38.418404,39.269859,40.890366,39.951935,38.766312,35.89151,38.679329,38.583199,44.081024,47.299156,42.863358,40.798813,39.46212,38.674751,46.292061,42.698555,41.842529,41.700615,40.084686,46.887161,5007491.7,38.358894,36.29435,35.030899,34.444954,34.939346,35.154495,38.06134,36.715492,35.369652,33.634697,35.479515,34.948502,41.645683,45.793091,41.63195,38.404671,37.722588,35.941864,42.881668,39.924469,38.390938,39.329369,37.96521,43.229568,5007491.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-7.6951294,-2.6047058,0.66375732,-1.8173523,0.33416748,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,5007491.7
21331765713408,0.060013536,0,41.499199,39.622337,38.395515,36.674294,38.418404,39.269859,40.890366,39.951935,38.761734,35.89151,38.679329,38.592354,44.081024,47.303734,42.863358,40.794235,39.466698,38.679329,46.296638,42.693977,41.842529,41.70977,40.075531,46.891739,5007511.7,38.349739,36.285194,34.998856,34.444954,34.925613,35.136185,38.056763,36.715492,35.383385,33.616386,35.484093,34.939346,41.641106,45.783936,41.63195,38.372627,37.745476,35.937286,42.886246,39.88327,38.427559,39.343102,37.960632,43.215836,5007511.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-7.6768188,-2.7420349,0.60882568,-1.8448181,0.24261475,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,5007511.7
21331785666656,0.079966784,0,41.494621,39.622337,38.400093,36.669716,38.418404,39.265282,40.890366,39.951935,38.766312,35.886932,38.683907,38.587776,44.076447,47.294579,42.863358,40.803391,39.457542,38.674751,46.282906,42.698555,41.837952,41.700615,40.080109,46.891739,5007531.7,38.354317,36.271461,34.994278,34.435799,34.930191,35.149918,38.065918,36.724648,35.346764,33.625542,35.493248,34.953079,41.650261,45.802246,41.636528,38.400093,37.73632,35.932709,42.904556,39.901581,38.390938,39.324791,37.96521,43.20668,5007531.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-7.7775269,-2.980072,0.84686279,-2.2934265,0.23345947,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,5007531.7
21331805603424,0.099903552,0,41.499199,39.622337,38.404671,36.674294,38.409248,39.265282,40.899521,39.947357,38.757156,35.896088,38.683907,38.583199,44.076447,47.303734,42.867935,40.803391,39.46212,38.670174,46.282906,42.6894,41.842529,41.705193,40.075531,46.896317,5007551.7,38.358894,36.262306,35.012589,34.426643,34.91188,35.177383,38.047607,36.729225,35.360497,33.634697,35.48867,34.934769,41.63195,45.825134,41.636528,38.395515,37.740898,35.937286,42.895401,39.919891,38.409248,39.343102,37.978943,43.202103,5007551.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-8.0979614,-3.0716553,0.60882568,-2.1835632,0.25177002,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,5007551.7
21331825650304,0.11995043,0,41.499199,39.622337,38.404671,36.674294,38.422981,39.269859,40.885788,39.947357,38.766312,35.882355,38.679329,38.578621,44.071869,47.294579,42.863358,40.798813,39.46212,38.679329,46.287483,42.6894,41.842529,41.705193,40.084686,46.900894,5007571.7,38.345161,36.280617,35.012589,34.435799,34.930191,35.163651,38.04303,36.724648,35.351341,33.625542,35.493248,34.930191,41.636528,45.820557,41.627373,38.409248,37.740898,35.923553,42.895401,39.901581,38.418404,39.338524,37.951477,43.202103,5007571.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-8.6930542,-3.2272949,0.51727295,-2.0920105,0.2243042,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,5007571.7
21331845664224,0.13996435,0,41.499199,39.626915,38.404671,36.665138,38.413826,39.260704,40.885788,39.951935,38.761734,35.886932,38.683907,38.587776,44.076447,47.299156,42.867935,40.798813,39.46212,38.674751,46.296638,42.6894,41.837952,41.700615,40.075531,46.896317,5007591.7,38.354317,36.280617,35.044632,34.435799,34.939346,35.14534,38.047607,36.729225,35.346764,33.625542,35.506981,34.943924,41.641106,45.811401,41.63195,38.409248,37.740898,35.932709,42.895401,39.910736,38.418404,39.329369,37.946899,43.211258,5007591.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-9.1508484,-3.1906738,0.72784424,-2.2018738,0.2243042,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,5007591.7
21331865792256,0.16009238,0,41.503777,39.622337,38.400093,36.669716,38.418404,39.265282,40.890366,39.947357,38.770889,35.89151,38.679329,38.587776,44.076447,47.299156,42.863358,40.794235,39.466698,38.674751,46.282906,42.6894,41.833374,41.705193,40.075531,46.896317,5007611.7,38.345161,36.289772,35.021744,34.435799,34.916458,35.172806,38.052185,36.715492,35.355919,33.625542,35.516136,34.943924,41.663994,45.815979,41.627373,38.400093,37.73632,35.928131,42.895401,39.915314,38.422981,39.329369,37.960632,43.20668,5007611.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-9.6086121,-3.1723633,0.86517334,-2.275116,0.23345947,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,5007611.7
21331887446880,0.18174701,0,41.499199,39.622337,38.404671,36.674294,38.413826,39.269859,40.890366,39.951935,38.766312,35.886932,38.674751,38.592354,44.085602,47.294579,42.863358,40.803391,39.457542,38.679329,46.287483,42.693977,41.842529,41.700615,40.070953,46.887161,5007631.7,38.349739,36.280617,35.030899,34.435799,34.925613,35.172806,38.056763,36.733803,35.365074,33.625542,35.497826,34.957657,41.645683,45.83429,41.622795,38.395515,37.73632,35.937286,42.909134,39.897003,38.422981,39.338524,37.96521,43.211258,5007631.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-10.276947,-3.1815186,0.87432861,-2.1927185,0.20599365,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,5007631.7
