t_recv_ns,t_s,t_stamp_ns,frame_id,hardware_connected,analog_states_0,analog_states_1,analog_states_2,analog_states_3,analog_states_4,analog_states_5,digital_states_0,digital_states_1,digital_states_2,digital_states_3,digital_states_4,digital_states_5,digital_states_6,digital_states_7,digital_states_8,digital_states_9,digital_states_10,digital_states_11
21067217740800,0,1786372524716524545,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21067237839168,0.020098368,1786372524736508301,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21067257893728,0.040152928,1786372524756511669,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21067277821728,0.060080928,1786372524776505874,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21067297833632,0.080092832,1786372524796511581,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21067317875456,0.10013466,1786372524816532580,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21067337862816,0.12012202,1786372524836528218,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21067357880896,0.1401401,1786372524856523798,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21067377806720,0.16006592,1786372524876506382,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21067397841696,0.1801009,1786372524896512373,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21067417843776,0.20010298,1786372524916504166,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21067437847328,0.22010653,1786372524936511071,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21067457899072,0.24015827,1786372524956532584,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21067477828320,0.26008752,1786372524976528729,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21067497841600,0.2801008,1786372524996524303,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21067517846464,0.30010566,1786372525016507315,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21067537818752,0.32007795,1786372525036511375,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21067557809888,0.34006909,1786372525056504085,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21067577850496,0.3601097,1786372525076511120,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21067597843680,0.38010288,1786372525096534692,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21067617839744,0.40009894,1786372525116527004,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21067637829344,0.42008854,1786372525136524153,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21067657813184,0.44007238,1786372525156506668,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21067677730112,0.45998931,1786372525176510885,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21067697810688,0.48006989,1786372525196504817,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
