t_recv_ns,t_s,t_stamp_ns,frame_id,hardware_connected,analog_states_0,analog_states_1,analog_states_2,analog_states_3,analog_states_4,analog_states_5,digital_states_0,digital_states_1,digital_states_2,digital_states_3,digital_states_4,digital_states_5,digital_states_6,digital_states_7,digital_states_8,digital_states_9,digital_states_10,digital_states_11
3409999895552,0,1788964948907115546,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3410019787648,0.019892096,1788964948927112500,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3410039828704,0.039933152,1788964948947110461,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3410059809280,0.059913728,1788964948967110868,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3410079795808,0.079900256,1788964948987110650,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3410099825760,0.099930208,1788964949007110350,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3410119793760,0.11989821,1788964949027109955,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3410139768608,0.13987306,1788964949047110600,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3410159725280,0.15982973,1788964949067109818,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3410179790944,0.17989539,1788964949087110110,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3410199840256,0.1999447,1788964949107110172,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3410219802816,0.21990726,1788964949127110716,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3410239789952,0.2398944,1788964949147111725,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3410259769664,0.25987411,1788964949167110607,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3410279819104,0.27992355,1788964949187110971,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3410299787616,0.29989206,1788964949207113748,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3410319769056,0.3198735,1788964949227110057,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
