t_recv_ns,t_s,t_stamp_ns,frame_id,error_code,startup_timestamp,error_message,node_name,node_status
3410759901056,0,1788964949667178837,,0,1.7889649e+18,,motion,running
3411759776224,0.99987517,1788964950667181978,,0,1.788965e+18,,motion,running
3412759842496,1.9999414,1788964951667178144,,0,1.788965e+18,,motion,running
3413759770368,2.9998693,1788964952667178529,,0,1.788965e+18,,motion,running
3414759693664,3.9997926,1788964953667178555,,0,1.788965e+18,,motion,running
3415759611744,4.9997107,1788964954667178416,,0,1.788965e+18,,motion,running
3416759740864,5.9998398,1788964955667383630,,0,1.788965e+18,,motion,running
3417759548384,6.9996473,1788964956667178115,,0,1.788965e+18,,motion,running
3418759489792,7.9995887,1788964957667178700,,0,1.788965e+18,,motion,running
3419759460448,8.9995594,1788964958667179000,,0,1.788965e+18,,motion,running
3420759440992,9.9995399,1788964959667180156,,0,1.788965e+18,,motion,running
3421759380704,10.99948,1788964960667186989,,0,1.788965e+18,,motion,running
3422759305088,11.999404,1788964961667178069,,0,1.788965e+18,,motion,running
3423759251200,12.99935,1788964962667178127,,0,1.788965e+18,,motion,running
3424759206176,13.999305,1788964963667177239,,0,1.788965e+18,,motion,running
3425759223584,14.999323,1788964964667179705,,0,1.788965e+18,,motion,running
3426759136032,15.999235,1788964965667177417,,0,1.788965e+18,,motion,running
3427759085120,16.999184,1788964966667178775,,0,1.788965e+18,,motion,running
3428759004864,17.999104,1788964967667177839,,0,1.788965e+18,,motion,running
3429759004640,18.999104,1788964968667181651,,0,1.788965e+18,,motion,running
3430758911328,19.99901,1788964969667178302,,0,1.788965e+18,,motion,running
3431758883232,20.998982,1788964970667178591,,0,1.788965e+18,,motion,running
3432758819712,21.998919,1788964971667177555,,0,1.788965e+18,,motion,running
3433758809344,22.998908,1788964972667178745,,0,1.788965e+18,,motion,running
3434758741536,23.99884,1788964973667178573,,0,1.788965e+18,,motion,running
3435758715552,24.998814,1788964974667179555,,0,1.788965e+18,,motion,running
3436758612832,25.998712,1788964975667174702,,0,1.788965e+18,,motion,running
3437758435808,26.998535,1788964976667170008,,0,1.788965e+18,,motion,running
3438758439872,27.998539,1788964977667179224,,0,1.788965e+18,,motion,running
3439758533568,28.998633,1788964978667178042,,0,1.788965e+18,,motion,running
3440758545280,29.998644,1788964979667178299,,0,1.788965e+18,,motion,running
3441758420864,30.99852,1788964980667177894,,0,1.788965e+18,,motion,running
