t_recv_ns,t_s,t_stamp_ns,current_motion_task
3410159773280,0,0,joint_bridge
3410359709376,0.1999361,0,joint_bridge
3410559698880,0.3999256,0,joint_bridge
3410759684288,0.59991101,0,joint_bridge
3410959700928,0.79992765,0,joint_bridge
3411159658496,0.99988522,0,joint_bridge
3411359723360,1.1999501,0,joint_bridge
3411559674752,1.3999015,0,joint_bridge
3411759658880,1.5998856,0,joint_bridge
3411959734624,1.7999613,0,joint_bridge
3412159625664,1.9998524,0,joint_bridge
3412359611296,2.199838,0,joint_bridge
3412559588544,2.3998153,0,joint_bridge
3412759595008,2.5998217,0,joint_bridge
3412959585728,2.7998124,0,joint_bridge
3413159561568,2.9997883,0,joint_bridge
3413359580576,3.1998073,0,joint_bridge
3413559571264,3.399798,0,joint_bridge
3413759562848,3.5997896,0,joint_bridge
3413959543872,3.7997706,0,joint_bridge
3414159610016,3.9998367,0,joint_bridge
3414359492448,4.1997192,0,joint_bridge
3414559507360,4.3997341,0,joint_bridge
3414759484160,4.5997109,0,joint_bridge
3414959581920,4.7998086,0,joint_bridge
3415159533600,4.9997603,0,joint_bridge
3415359456096,5.1996828,0,joint_bridge
3415559441056,5.3996678,0,joint_bridge
3415759452928,5.5996796,0,joint_bridge
3415959432384,5.7996591,0,joint_bridge
3416159409088,5.9996358,0,joint_bridge
3416359424384,6.1996511,0,joint_bridge
3416559425824,6.3996525,0,joint_bridge
3416759495840,6.5997226,0,joint_bridge
3416959658688,6.7998854,0,joint_bridge
3417159420928,6.9996476,0,joint_bridge
3417359385984,7.1996127,0,joint_bridge
3417559480256,7.399707,0,joint_bridge
3417759358304,7.599585,0,joint_bridge
3417959366848,7.7995936,0,joint_bridge
3418159402784,7.9996295,0,joint_bridge
3418359315808,8.1995425,0,joint_bridge
3418559292288,8.399519,0,joint_bridge
3418759346432,8.5995732,0,joint_bridge
3418959292544,8.7995193,0,joint_bridge
3419159299136,8.9995259,0,joint_bridge
3419359281920,9.1995086,0,joint_bridge
3419559270080,9.3994968,0,joint_bridge
3419759262464,9.5994892,0,joint_bridge
3419959241664,9.7994684,0,joint_bridge
3420159233312,9.99946,0,joint_bridge
3420359222176,10.199449,0,joint_bridge
3420559222112,10.399449,0,joint_bridge
3420759225760,10.599452,0,joint_bridge
3420959201920,10.799429,0,joint_bridge
3421159253728,10.99948,0,joint_bridge
3421359174912,11.199402,0,joint_bridge
3421559166560,11.399393,0,joint_bridge
3421759173312,11.5994,0,joint_bridge
3421959164992,11.799392,0,joint_bridge
3422159137152,11.999364,0,joint_bridge
3422359124064,12.199351,0,joint_bridge
3422559132384,12.399359,0,joint_bridge
3422759117632,12.599344,0,joint_bridge
3422959118144,12.799345,0,joint_bridge
3423159090304,12.999317,0,joint_bridge
3423359081024,13.199308,0,joint_bridge
3423559073920,13.399301,0,joint_bridge
3423759078176,13.599305,0,joint_bridge
3423959060800,13.799288,0,joint_bridge
3424159142112,13.999369,0,joint_bridge
3424359033984,14.199261,0,joint_bridge
3424559006304,14.399233,0,joint_bridge
3424759020320,14.599247,0,joint_bridge
3424958995328,14.799222,0,joint_bridge
3425159014304,14.999241,0,joint_bridge
3425359012416,15.199239,0,joint_bridge
3425558976256,15.399203,0,joint_bridge
3425758985888,15.599213,0,joint_bridge
3425958959584,15.799186,0,joint_bridge
3426158944480,15.999171,0,joint_bridge
3426358928128,16.199155,0,joint_bridge
3426558921696,16.399148,0,joint_bridge
3426758912352,16.599139,0,joint_bridge
3426958902784,16.79913,0,joint_bridge
3427158995424,16.999222,0,joint_bridge
3427358883200,17.19911,0,joint_bridge
3427558893024,17.39912,0,joint_bridge
3427758879840,17.599107,0,joint_bridge
3427958887872,17.799115,0,joint_bridge
3428158862688,17.999089,0,joint_bridge
3428358836320,18.199063,0,joint_bridge
3428558842560,18.399069,0,joint_bridge
3428758814016,18.599041,0,joint_bridge
3428958814016,18.799041,0,joint_bridge
3429158807968,18.999035,0,joint_bridge
3429358810752,19.199037,0,joint_bridge
3429558798016,19.399025,0,joint_bridge
3429758784640,19.599011,0,joint_bridge
3429958789856,19.799017,0,joint_bridge
3430158862816,19.99909,0,joint_bridge
3430358749088,20.198976,0,joint_bridge
3430558749888,20.398977,0,joint_bridge
3430758733120,20.59896,0,joint_bridge
3430958705504,20.798932,0,joint_bridge
3431158703008,20.99893,0,joint_bridge
3431358695264,21.198922,0,joint_bridge
3431558757312,21.398984,0,joint_bridge
3431758686016,21.598913,0,joint_bridge
3431958659392,21.798886,0,joint_bridge
3432158648064,21.998875,0,joint_bridge
3432358656800,22.198884,0,joint_bridge
3432558648384,22.398875,0,joint_bridge
3432758636800,22.598864,0,joint_bridge
3432959314304,22.799541,0,joint_bridge
3433158730688,22.998957,0,joint_bridge
3433358614144,23.198841,0,joint_bridge
3433558615360,23.398842,0,joint_bridge
3433758602752,23.598829,0,joint_bridge
3433958573312,23.7988,0,joint_bridge
3434158583168,23.99881,0,joint_bridge
3434358562336,24.198789,0,joint_bridge
3434558611680,24.398838,0,joint_bridge
3434758554400,24.598781,0,joint_bridge
3434958550784,24.798778,0,joint_bridge
3435158546880,24.998774,0,joint_bridge
3435358546720,25.198773,0,joint_bridge
3435558500320,25.398727,0,joint_bridge
3435758504576,25.598731,0,joint_bridge
3435958502432,25.798729,0,joint_bridge
3436158571712,25.998798,0,joint_bridge
3436358493888,26.198721,0,joint_bridge
3436558460288,26.398687,0,joint_bridge
3436758450688,26.598677,0,joint_bridge
3436958471392,26.798698,0,joint_bridge
3437158431040,26.998658,0,joint_bridge
3437358412640,27.198639,0,joint_bridge
3437558443264,27.39867,0,joint_bridge
3437758401376,27.598628,0,joint_bridge
3437958412032,27.798639,0,joint_bridge
3438158421824,27.998649,0,joint_bridge
3438358445824,28.198673,0,joint_bridge
3438558381536,28.398608,0,joint_bridge
3438758409728,28.598636,0,joint_bridge
3438958363136,28.79859,0,joint_bridge
3439158443776,28.99867,0,joint_bridge
3439358323392,29.19855,0,joint_bridge
3439558352544,29.398579,0,joint_bridge
3439758316608,29.598543,0,joint_bridge
3439958289536,29.798516,0,joint_bridge
3440158266240,29.998493,0,joint_bridge
3440358318976,30.198546,0,joint_bridge
3440558277152,30.398504,0,joint_bridge
3440758318624,30.598545,0,joint_bridge
3440958282304,30.798509,0,joint_bridge
3441158241504,30.998468,0,joint_bridge
3441358234176,31.198461,0,joint_bridge
3441558226752,31.398453,0,joint_bridge
3441758201728,31.598428,0,joint_bridge
