t_recv_ns,t_s,t_stamp_ns,mos_temperature_0,mos_temperature_1,mos_temperature_2,mos_temperature_3,mos_temperature_4,mos_temperature_5,mos_temperature_6,mos_temperature_7,mos_temperature_8,mos_temperature_9,mos_temperature_10,mos_temperature_11,mos_temperature_12,mos_temperature_13,mos_temperature_14,mos_temperature_15,mos_temperature_16,mos_temperature_17,mos_temperature_18,mos_temperature_19,mos_temperature_20,mos_temperature_21,mos_temperature_22,mos_temperature_23,mos_temperature_24,motor_temperature_0,motor_temperature_1,motor_temperature_2,motor_temperature_3,motor_temperature_4,motor_temperature_5,motor_temperature_6,motor_temperature_7,motor_temperature_8,motor_temperature_9,motor_temperature_10,motor_temperature_11,motor_temperature_12,motor_temperature_13,motor_temperature_14,motor_temperature_15,motor_temperature_16,motor_temperature_17,motor_temperature_18,motor_temperature_19,motor_temperature_20,motor_temperature_21,motor_temperature_22,motor_temperature_23,motor_temperature_24,tau_cmd_0,tau_cmd_1,tau_cmd_2,tau_cmd_3,tau_cmd_4,tau_cmd_5,tau_cmd_6,tau_cmd_7,tau_cmd_8,tau_cmd_9,tau_cmd_10,tau_cmd_11,tau_cmd_12,tau_cmd_13,tau_cmd_14,tau_cmd_15,tau_cmd_16,tau_cmd_17,tau_cmd_18,tau_cmd_19,tau_cmd_20,tau_cmd_21,tau_cmd_22,tau_cmd_23,tau_cmd_24
3410019799584,0,0,34.074158,32.389565,32.005035,30.357063,31.73037,32.435341,33.469902,32.801559,32.394142,29.871826,32.055389,31.867706,36.692604,38.212402,34.467842,32.787827,31.895172,31.65255,37.754639,33.99176,32.970932,33.044174,32.165253,37.841614,3319269.7,31.492332,29.537651,29.130234,28.590065,28.809799,28.960861,31.025406,29.954224,29.446098,28.017853,29.34539,28.864731,34.577705,36.440834,33.982605,30.796524,30.151062,29.42321,34.605171,31.638817,29.949646,30.952164,30.050354,34.618904,3319269.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,0.95672607,-1.3595886,-1.4145203,-0.6362915,-0.19683838,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,3319269.7
3410039843392,0.020043808,0,34.078735,32.389565,32.009613,30.357063,31.725792,32.430763,33.465324,32.801559,32.389565,29.876404,32.055389,31.863129,36.688026,38.21698,34.467842,32.787827,31.895172,31.647972,37.759216,33.99176,32.970932,33.048752,32.165253,37.855347,3319289.7,31.49691,29.528496,29.148544,28.594643,28.818954,28.956284,31.020828,29.945068,29.464409,28.02243,29.349968,28.878464,34.55024,36.454567,34.005493,30.796524,30.160217,29.4049,34.600594,31.629662,29.949646,30.943008,30.045776,34.628059,3319289.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,0.92926025,-1.7441101,-1.3870544,-0.64544678,-0.39825439,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,3319289.7
3410059819904,0.04002032,0,34.074158,32.389565,32.005035,30.357063,31.734947,32.435341,33.465324,32.801559,32.389565,29.871826,32.064545,31.863129,36.697182,38.21698,34.476997,32.792404,31.890594,31.65255,37.763794,33.987183,32.970932,33.048752,32.160675,37.846191,3319309.7,31.492332,29.533073,29.130234,28.594643,28.818954,28.965439,31.048294,29.940491,29.427788,28.017853,29.340813,28.855576,34.56855,36.408791,33.982605,30.819412,30.160217,29.409477,34.618904,31.629662,29.963379,30.929276,30.050354,34.614326,3319309.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,0.70953369,-1.3595886,-1.5152283,-0.60882568,-0.19683838,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,3319309.7
3410079808512,0.060008928,0,34.078735,32.39872,32.005035,30.357063,31.73037,32.435341,33.469902,32.806137,32.394142,29.871826,32.059967,31.872284,36.688026,38.221558,34.467842,32.792404,31.890594,31.65255,37.768372,33.987183,32.970932,33.044174,32.160675,37.846191,3319329.7,31.501488,29.546806,29.130234,28.58091,28.805222,28.951706,31.034561,29.931335,29.450676,28.013275,29.363701,28.869308,34.563972,36.422523,34.000916,30.814835,30.146484,29.414055,34.591438,31.638817,29.967957,30.952164,30.054932,34.605171,3319329.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,0.65460205,-1.6891785,-1.5335388,-0.6362915,-0.27008057,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,3319329.7
3410099839040,0.080039456,0,34.083313,32.394142,32.005035,30.352486,31.734947,32.435341,33.47448,32.806137,32.394142,29.871826,32.064545,31.867706,36.688026,38.212402,34.467842,32.792404,31.890594,31.657127,37.759216,33.982605,32.97551,33.048752,32.160675,37.855347,3319349.7,31.487755,29.533073,29.143967,28.608376,28.809799,28.951706,31.029984,29.949646,29.441521,27.999542,29.34539,28.869308,34.573128,36.417946,34.010071,30.814835,30.15564,29.386589,34.609749,31.643394,29.981689,30.933853,30.068665,34.605171,3319349.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,0.44403076,-1.5701599,-1.6617126,-0.65460205,-0.38909912,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,3319349.7
3410119805760,0.10000618,0,34.06958,32.394142,32.005035,30.357063,31.73037,32.430763,33.465324,32.801559,32.384987,29.876404,32.064545,31.858551,36.692604,38.221558,34.47242,32.796982,31.895172,31.661705,37.768372,33.987183,32.97551,33.048752,32.165253,37.855347,3319369.7,31.49691,29.523918,29.143967,28.594643,28.800644,28.942551,31.043716,29.935913,29.455254,28.013275,29.354546,28.864731,34.554817,36.417946,33.99176,30.82399,30.15564,29.395744,34.623482,31.620506,29.967957,30.952164,30.045776,34.618904,3319369.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,0.050354004,-1.7715759,-1.3321228,-0.6362915,-0.20599365,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,3319369.7
3410139781472,0.11998189,0,34.078735,32.39872,32.009613,30.357063,31.73037,32.439919,33.469902,32.796982,32.389565,29.871826,32.055389,31.863129,36.692604,38.207825,34.47242,32.787827,31.890594,31.657127,37.763794,33.99176,32.97551,33.044174,32.165253,37.850769,3319389.7,31.49691,29.551384,29.139389,28.590065,28.818954,28.937973,31.043716,29.935913,29.436943,28.00412,29.359123,28.855576,34.56855,36.427101,33.996338,30.814835,30.164795,29.414055,34.605171,31.629662,29.958801,30.947586,30.041199,34.605171,3319389.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,0.15106201,-2.009613,-1.4694519,-0.59051514,-0.29754639,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,3319389.7
3410159960864,0.14016128,0,34.078735,32.394142,32.005035,30.352486,31.734947,32.435341,33.469902,32.806137,32.389565,29.867249,32.064545,31.872284,36.697182,38.21698,34.467842,32.787827,31.890594,31.65255,37.759216,33.987183,32.97551,33.044174,32.160675,37.850769,3319409.7,31.49691,29.533073,29.134811,28.594643,28.796066,28.965439,31.034561,29.940491,29.450676,28.00412,29.363701,28.860153,34.56855,36.417946,34.000916,30.810257,30.151062,29.414055,34.614326,31.629662,29.967957,30.956741,30.041199,34.637215,3319409.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.13275146,-1.8722839,-1.506073,-0.3616333,-0.29754639,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,3319409.7
3410179802400,0.16000282,0,34.074158,32.394142,32.005035,30.357063,31.725792,32.435341,33.465324,32.806137,32.389565,29.871826,32.059967,31.867706,36.692604,38.221558,34.476997,32.787827,31.895172,31.65255,37.759216,33.996338,32.966354,33.039597,32.160675,37.846191,3319429.7,31.510643,29.542229,29.148544,28.590065,28.814377,28.947128,31.048294,29.949646,29.450676,28.02243,29.354546,28.84642,34.563972,36.413368,34.005493,30.819412,30.164795,29.395744,34.609749,31.643394,29.954224,30.947586,30.041199,34.614326,3319429.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,0.04119873,-2.2201843,-1.6525574,-0.38909912,-0.50811768,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,3319429.7
3410199856960,0.18005738,0,34.074158,32.39872,32.005035,30.352486,31.73037,32.430763,33.469902,32.806137,32.389565,29.871826,32.059967,31.872284,36.697182,38.21698,34.481575,32.792404,31.890594,31.657127,37.759216,33.987183,32.97551,33.048752,32.165253,37.855347,3319449.7,31.506065,29.523918,29.153122,28.59922,28.791489,28.960861,31.048294,29.940491,29.436943,28.008698,29.349968,28.869308,34.582283,36.431679,34.014648,30.810257,30.169373,29.409477,34.614326,31.625084,29.963379,30.956741,30.059509,34.614326,3319449.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.050354004,-2.275116,-1.4145203,-0.64544678,-0.20599365,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,3319449.7
